Issue_Type	Issue_ID	Chromosome	Accession_1	Accession_2	Report_Type	Summary	Status	Status_Text	Description	Experiment_Type	Update	External_Information_Type	Resolution_Summary	Resolution_Information	Patch_Type	Fixed_in_Version	Affected_Version	Patch_GenBank_Accession	Patch_RefSeq_Accession	Patch_Region_Name	Shortform_Location_Information
GRC Housekeeping	HG-1824	11	AC225595.1	AC225595.1	TPF Analysis	"Non-component AC225595.1 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly."	Resolved	"none"	"Non-component AC225595.1 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AP005140.4 which is on chromosome 11. AC225595.1 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	na	2014-10-01T15:04:56.000-0400	na	GRC Resolved by Electronic Means	"Non-component AC225595.1 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AP005140.4 which is on chromosome 11. AC225595.1 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	GRCh38:ALT	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:68932759:@:68966513:@:1:@@@:AC225595:::1:@@@:AC225595:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KI270827.1:@:NT_187582.1:@:ALT_SCAFFOLD:@:1:@:37409:@:1:@@@:AC225595:::1:@@@:AC225595:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:69165291:@:69199046:@:1:@@@:AC225595:::1:@@@:AC225595:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1829	11	AC239832.3	AC239832.3	TPF Analysis	"Non-component AC239832.3 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly."	Resolved	"none"	"Non-component AC239832.3 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AC139749.4 which is on chromosome 11. AC239832.3 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	na	2015-07-23T17:14:04.000-0400	na	GRC Resolved by Electronic Means	"Component AC239832.3 has been added to the Chr. 11 Reference to update the tandem repeat region that was observed here in order to improve representation of GeneID: 4583 (MUC2) in GRCh38."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:1075387:@:1099879:@:3:@@@:AC239832:::3:@@@:AC239832:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:1075387:@:1105971:@:3:@@@:AC239832:::3:@@@:AC239832:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KI270927.1:@:NT_187681.1:@:ALT_SCAFFOLD:@:149780:@:174272:@:3:@@@:AC239832:::3:@@@:AC239832:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KQ759759.1:@:NW_015148966.1:@:ALT_SCAFFOLD:@:62960:@:95445:@:3:@@@:AC239832:::3:@@@:AC239832:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1834	11	AC209551.4	AC209551.4	TPF Analysis	"Non-component AC209551.4 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly."	Resolved	"none"	"Non-component AC209551.4 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AC044810.7 which is on chromosome 11. AC209551.4 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	na	2015-07-23T17:14:15.000-0400	na	GRC Resolved by Electronic Means	"Non-component AC209551.4 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AC044810.7 which is on chromosome 11. AC209551.4 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	GRCh38:ALT	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:7858784:@:7891050:@:4:@@@:AC209551:::4:@@@:AC209551:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KI270829.1:@:NT_187583.1:@:ALT_SCAFFOLD:@:58105:@:101004:@:4:@@@:AC209551:::4:@@@:AC209551:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:7837237:@:7869503:@:4:@@@:AC209551:::4:@@@:AC209551:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KN538368.1:@:NW_011332695.1:@:ALT_SCAFFOLD:@:68231:@:100497:@:4:@@@:AC209551:::4:@@@:AC209551:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1835	11	AC239872.3	AC239872.3	TPF Analysis	"Non-component AC239872.3 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly."	Resolved	"none"	"Non-component AC239872.3 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AC139749.4 which is on chromosome 11. AC239872.3 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	na	2015-07-23T17:14:15.000-0400	na	GRC Resolved by Electronic Means	"Non-component AC239872.3 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AC139749.4 which is on chromosome 11. AC239872.3 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	GRCh38:ALT	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:1008837:@:1037146:@:3:@@@:AC239872:::3:@@@:AC239872:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KI270902.1:@:NT_187656.1:@:ALT_SCAFFOLD:@:71580:@:106711:@:3:@@@:AC239872:::3:@@@:AC239872:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:1008837:@:1037146:@:3:@@@:AC239872:::3:@@@:AC239872:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KI270927.1:@:NT_187681.1:@:ALT_SCAFFOLD:@:78278:@:111539:@:3:@@@:AC239872:::3:@@@:AC239872:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KQ759759.1:@:NW_015148966.1:@:ALT_SCAFFOLD:@:1:@:24603:@:3:@@@:AC239872:::3:@@@:AC239872:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1836	11	AC211344.3	AC211344.3	TPF Analysis	"Non-component AC211344.3 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly."	Resolved	"none"	"Non-component AC211344.3 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AP006285.2 which is on chromosome 11. AC211344.3 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	na	2015-07-23T17:14:16.000-0400	na	GRC Resolved by Electronic Means	"Non-component AC211344.3 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AP006285.2 which is on chromosome 11. AC211344.3 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	GRCh38:ALT	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:1551329:@:1582745:@:3:@@@:AC211344:::3:@@@:AC211344:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KI270830.1:@:NT_187584.1:@:ALT_SCAFFOLD:@:6626:@:43752:@:3:@@@:AC211344:::3:@@@:AC211344:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:1530099:@:1561515:@:3:@@@:AC211344:::3:@@@:AC211344:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KI270903.1:@:NT_187657.1:@:ALT_SCAFFOLD:@:6626:@:38042:@:3:@@@:AC211344:::3:@@@:AC211344:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1837	11	AC001228.1	AC001228.1	TPF Analysis	"Non-component AC001228.1 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly."	Resolved	"none"	"Non-component AC001228.1 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AC131971.9 which is on chromosome 11. AC001228.1 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	na	2014-10-01T15:05:12.000-0400	na	GRC Resolved by Electronic Means	"Non-component AC001228.1 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AC131971.9 which is on chromosome 11. AC001228.1 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	GRCh38:ALT	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:2841685:@:3087076:@:1:@@@:AC001228:::1:@@@:AC001228:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KI270831.1:@:NT_187585.1:@:ALT_SCAFFOLD:@:52642:@:296895:@:1:@@@:AC001228:::1:@@@:AC001228:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:2820455:@:3065846:@:1:@@@:AC001228:::1:@@@:AC001228:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1840	11	AC208587.4	AC208587.4	TPF Analysis	"Non-component AC208587.4 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly"	Resolved	"none"	"Non-component AC208587.4 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals alignments to AP006477.2 and AC139749.4 which are on chromosome 11. AC208587.4 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	na	2015-07-23T17:14:04.000-0400	na	GRC Resolved by Electronic Means	"Non-component AC208587.4 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals alignments to AP006477.2 and AC139749.4 which are on chromosome 11. AC208587.4 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	GRCh38:ALT	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:996838:@:1025480:@:4:@@@:AC208587:::4:@@@:AC208587:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KI270927.1:@:NT_187681.1:@:ALT_SCAFFOLD:@:66279:@:99873:@:4:@@@:AC208587:::4:@@@:AC208587:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:996838:@:1025480:@:4:@@@:AC208587:::4:@@@:AC208587:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KI270902.1:@:NT_187656.1:@:ALT_SCAFFOLD:@:59581:@:95045:@:4:@@@:AC208587:::4:@@@:AC208587:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KQ759759.1:@:NW_015148966.1:@:ALT_SCAFFOLD:@:1:@:12937:@:4:@@@:AC208587:::4:@@@:AC208587:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1846	11	AC138374.2	AC138374.2	TPF Analysis	"Non-component (GRCh37.p10) HTG sequence AC138374.2 contains sequence present in the 1kG ph1 decoy but absent from the Reference assembly"	Resolved	"none"	"Non-component AC138374.2 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AP006284.2 which is on chromosome 11. AC138374.2 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	na	2014-10-01T15:05:23.000-0400	na	GRC Resolved by Electronic Means	"Non-component AC138374.2 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AP006284.2 which is on chromosome 11. AC138374.2 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	GRCh38:ALT	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:484043:@:678681:@:2:@@@:AC138374:::2:@@@:AC138374:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KI270832.1:@:NT_187586.1:@:ALT_SCAFFOLD:@:72954:@:210133:@:2:@@@:AC138374:::2:@@@:AC138374:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:484043:@:678681:@:2:@@@:AC138374:::2:@@@:AC138374:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1849	11	AC130310.17	AC130310.17	TPF Analysis	"Non-component (GRCh37.p10) HTG sequence AC130310.17 contains sequence present in the 1kG ph1 decoy but absent from the Reference assembly"	Resolved	"none"	"Non-component AC130310.17 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AP006285.2 which is on chromosome 11. AC130310.17 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	na	2015-07-23T17:14:20.000-0400	na	GRC Resolved by Electronic Means	"Non-component AC130310.17 contains sequence present in the 1kG ph1 decoy but absent from the GRCh37.p10 assembly. BLASTing it reveals an alignment to AP006285.2 which is on chromosome 11. AC130310.17 contains sequence not present on the reference assembly and so will be added to an alternative haplotype tile path."	GRCh38:ALT	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:1603792:@:1762109:@:17:@@@:AC130310:::17:@@@:AC130310:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KI270903.1:@:NT_187657.1:@:ALT_SCAFFOLD:@:59089:@:214625:@:17:@@@:AC130310:::17:@@@:AC130310:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:1582562:@:1740879:@:17:@@@:AC130310:::17:@@@:AC130310:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KI270830.1:@:NT_187584.1:@:ALT_SCAFFOLD:@:64799:@:177092:@:17:@@@:AC130310:::17:@@@:AC130310:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1922	11	AC226006.2	AC226006.2	TPF Analysis	"Non-component (GRCh37.p10) HTG sequence AC226006.2 contains sequence present in the 1kG ph1 decoy but absent from the Reference Assembly"	Resolved	"none"	"Non-component (GRCh37.p10) HTG sequence AC226006.2 contains sequence present in the 1kG ph1 decoy but absent from the Reference Assembly"	na	2014-06-11T08:56:00.000-0400	na	GRC Resolved by Electronic Means	"BLASTing AC226006.2 shows that it is contained within AP006477.2. This will be added to the Alternate tile path, since AP006477.2 is already associated with another decoy component (also in ALT_3 but there is no overlap between the two decoy sequences)."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:960497:@:990910:@:2:@@@:AC226006:::2:@@@:AC226006:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KI270927.1:@:NT_187681.1:@:ALT_SCAFFOLD:@:23240:@:60351:@:2:@@@:AC226006:::2:@@@:AC226006:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:960497:@:990910:@:2:@@@:AC226006:::2:@@@:AC226006:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KI270902.1:@:NT_187656.1:@:ALT_SCAFFOLD:@:23240:@:53653:@:2:@@@:AC226006:::2:@@@:AC226006:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-2040	11	AP006285.2	AP006285.2	TPF Analysis	"AP006285.2: different clone names in TPF files"	Resolved	"none"	"Two different local names for AP006285.2 appear in GRC TPF files. This has no effect on assembly sequence. The GRC will investigate and edit the files as needed."	na	2015-07-23T17:14:03.000-0400	na	GRC Resolved by Electronic Means	"Clone name corrected."	na	GRCh39	GRCh38	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:1544704:@:1716085:@:2:@@@:AP006285:::2:@@@:AP006285:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:1523474:@:1694855:@:2:@@@:AP006285:::2:@@@:AP006285:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KI270830.1:@:NT_187584.1:@:ALT_SCAFFOLD:@:1:@:177092:@:2:@@@:AP006285:::2:@@@:AP006285:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KI270903.1:@:NT_187657.1:@:ALT_SCAFFOLD:@:1:@:59088:@:2:@@@:AP006285:::2:@@@:AP006285:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Clone Problem	HG-2060	11	AC130364.5	AC130364.5	User Report	"Possible Inversion in reference component AC130364.5"	Awaiting Elec Data	"There is an inversion in AC130364.5 confirmed by optical map and end sequence alignments. ABBA01060664.1 will be used to correct this inversion"	"There may be an inversion within AC130364.5"	na	2015-08-24T11:27:50.000-0400	na	Unresolved	"na"	na	na	Build 36	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:49699257:@:49862647:@:5:@@@:AC130364:::5:@@@:AC130364:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:49677705:@:49841095:@:5:@@@:AC130364:::5:@@@:AC130364:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-2109	11	AC044810.7	AC044810.7	End Sequence Profile	"Possible misassembly or indel variation in GRCh38 within AC044810.7"	Resolved	"none"	"Analysis of GU269125.1 along with alignment of HuRef Chr. 11, suggest there may be ~10,150 bp sequence missing from the reference assembly within component AC044810.7. This may represent variation or an assembly error."	na	2016-01-08T14:02:59.000-0500	na	GRC Resolved by Electronic Means	"A scaffold has been created containing AC243812.1, which represents a sequence variant containing ~10kb that does not align to GRCh38 NC_000011.10 component AC044810.7"	GRCh38:NOVEL	GRCh39,GRCh38.p2	na	KN538368.1	NW_011332695.1	OLFACTORY_REGION_2	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:7800680:@:7994105:@:7:@@@:AC044810:::7:@@@:AC044810:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:7779133:@:7972558:@:7:@@@:AC044810:::7:@@@:AC044810:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KN538368.1:@:NW_011332695.1:@:ALT_SCAFFOLD:@:1:@:203552:@:7:@@@:AC044810:::7:@@@:AC044810:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:KI270829.1:@:NT_187583.1:@:ALT_SCAFFOLD:@:1:@:204059:@:7:@@@:AC044810:::7:@@@:AC044810:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-2110	11	AC129895.5	AC129895.5	End Sequence Profile	"Possible misassembly or indel variation in GRCh38 within AC129895.5"	Awaiting Elec Data	"RP11 WGS indicates this is variation."	"Analysis of GU267036.1 and GU267644.1 along with alignment of HuRef Chr. 11, suggest there may be ~1,724 bp sequence missing from the reference assembly within component AC129895.5. This may represent variation or an assembly error."	na	2014-10-23T11:08:36.000-0400	na	Unresolved	"na"	na	na	na	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:8140608:@:8188057:@:5:@@@:AC129895:::5:@@@:AC129895:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:8119061:@:8166510:@:5:@@@:AC129895:::5:@@@:AC129895:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-2111	11	AC084117.6	AC084117.6	End Sequence Profile	"Possible misassembly or indel variation in GRCh38 within AC084117.6"	Awaiting Elec Data	"RP11 Whole genome shotgun and optical map data indicates this difference is down to variation"	"Analysis of GU268570.1 and GU268751.1 along with alignment of HuRef Chr. 11, suggest there may be ~2,694 bp sequence missing from the reference assembly within component AC084117.6. This may represent variation or an assembly error."	na	2015-05-26T07:37:33.000-0400	na	Unresolved	"na"	na	na	na	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:18313174:@:18441023:@:6:@@@:AC084117:::6:@@@:AC084117:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:18291627:@:18419476:@:6:@@@:AC084117:::6:@@@:AC084117:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-2112	11	AC100767.2	AC100767.2	End Sequence Profile	"Possible misassembly or indel variation in GRCh38 within AC100767.2"	Awaiting Elec Data	"RP11 Whole genome shotgun data indicates this is variation."	"Analysis of GU267633.1, GU267907.1 and GU268469.1 along with alignment of HuRef Chr. 11, suggest there may be ~3,082 bp sequence missing from the reference assembly within component AC100767.2. This may represent variation or an assembly error."	na	2015-05-26T07:56:55.000-0400	na	Unresolved	"na"	na	na	na	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:23342065:@:23509129:@:2:@@@:AC100767:::2:@@@:AC100767:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:23320519:@:23487583:@:2:@@@:AC100767:::2:@@@:AC100767:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-2113	11	AL135932.7	AL135932.7	End Sequence Profile	"Possible misassembly or indel variation in GRCh38 within AL135932.7"	Awaiting Elec Data	"RP11 whole genome shotgun and Optical map data indicates this is variation"	"Analysis of GU268133.1 along with alignment of HuRef Chr. 11, suggest there may be ~1,307 bp sequence missing from the reference assembly within component AL135932.7. This may represent variation or an assembly error."	na	2015-06-22T17:08:03.000-0400	na	Unresolved	"na"	na	na	na	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:30855626:@:30998846:@:7:@@@:AL135932:::7:@@@:AL135932:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:30834079:@:30977299:@:7:@@@:AL135932:::7:@@@:AL135932:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-2114	11	AC104942.5	AC104942.5	End Sequence Profile	"Possible misassembly or indel variation in GRCh38 within AC104942.5"	Awaiting Elec Data	"RP11 Whole genome shotgun data and optical map data indicate this is variation"	"Analysis of GU268636.1 along with alignment of HuRef Chr. 11, suggest there may be ~4,536 bp sequence missing from the reference assembly within component AC104942.5. This may represent variation or an assembly error."	na	2014-10-23T11:08:31.000-0400	na	Unresolved	"na"	na	na	na	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:47593727:@:47669065:@:5:@@@:AC104942:::5:@@@:AC104942:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:47572175:@:47647513:@:5:@@@:AC104942:::5:@@@:AC104942:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-2115	11	AP000487.6	AP000487.6	End Sequence Profile	"Possible misassembly or indel variation in GRCh38 within AP000487.6"	Awaiting Elec Data	"RP11 whole genome shotgun and optical map data show this is variation"	"Analysis of GU268360.1 along with alignment of HuRef Chr. 11, suggest there may be ~3,652 bp sequence missing from the reference assembly within component. This may represent variation or an assembly error."	na	2015-07-31T11:26:08.000-0400	na	Unresolved	"na"	na	na	na	na	na	na	MAPPED:@:CM000673.1:@:NC_000011.9:@:CHROMOSOME:@:70200773:@:70301892:@:6:@@@:AP000487:::6:@@@:AP000487:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000673.2:@:NC_000011.10:@:CHROMOSOME:@:70354667:@:70455787:@:6:@@@:AP000487:::6:@@@:AP000487:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
