id	chr	SuccessfullyMapped	MappedSeqInfo.GenBankID	MappedSeqInfo.RefSeqID	MappedSeqInfo.SequenceType	ChrStart	ChrEnd	MappedVersionNumbers	MappedVersionAccessions	Accession1Method	Accession2Method	AssemblyName	GenBankAssemblyAcc	RefSeqAssemblyAcc	AssemblyStatus
MG-142	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	32744752	32917168	4,4	AC139244,AC139244	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-165	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	59020585	59229985	6,6	AC121290,AC121290	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-165	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	59020411	59229811	6,6	AC121290,AC121290	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3179	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	3000001	3418531	5,3	AC131776,AC191865	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3179	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	3000001	3418531	5,3	AC131776,AC191865	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3180	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	4798659	5131527	4,3	AC167018,AC163723	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3180	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	4798659	5131620	4,3	AC167018,AC163723	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3181	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	65130838	65534719	2,8	AC161274,AC118240	alignment	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3181	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	65191865	65534913	2,8	AC161274,AC118240	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3196	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	97993842	98107768	4,3	AC163298,AC225639	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3208	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	38418489	38556132	2,11	AC209577,CT571259	component	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3724	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	59334099	59517453	2,2	AC154854,AC154854	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3724	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	59333925	59517279	2,2	AC154854,AC154854	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3725	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	59334099	59517453	2,2	AC154854,AC154854	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3725	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	59333925	59517279	2,2	AC154854,AC154854	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3752	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	20514796	20705113	19,19	AC087898,AC087898	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3752	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	20514869	20705186	19,19	AC087898,AC087898	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3833	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	18395887	18492018	14,14	AC133487,AC133487	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3833	16	MAPPED	KB469741.1	NW_004450262.1	ALT_SCAFFOLD	170225	267241	14,14	AC133487,AC133487	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3833	16	MAPPED	JH584310.1	NT_187012.1	ALT_SCAFFOLD	141991	261336	14,14	AC133487,AC133487	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3833	16	MAPPED	GL456028.2	NT_039630.5	ALT_SCAFFOLD	1	62403	14,14	AC133487,AC133487	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3833	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	18395980	18492111	14,14	AC133487,AC133487	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3864	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	19826142	19943342	2,2	AC164558,AC164558	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3864	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	19826235	19990464	2,2	AC164558,AC164558	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3865	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	97935244	97970144	1,1	CAAA01190929,CAAA01190929	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3865	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	98156400	98177419	1,1	CAAA01190929,CAAA01190929	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3898	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	11129611	11308940	23,23	AC087541,AC087541	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3898	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	11129704	11309033	23,23	AC087541,AC087541	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3899	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	36566659	36814013	13,13	AC117662,AC117662	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3899	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	36566745	36814099	13,13	AC117662,AC117662	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3980	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	23482585	23803403	3,7	AC154571,CT027681	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3980	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	23482658	23803489	3,7	AC154571,CT027681	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3982	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	58644338	59020584	2,2	AC159200,AC154545	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3982	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	58644451	59020410	2,2	AC159200,AC154545	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3985	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	93993414	94365489	2,9	AC165961,CT573086	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3985	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	93993659	94587096	2,9	AC165961,CT573086	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4192	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	93797827	94101653	1,2	AC168220,AC165961	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4192	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	93798072	94101898	1,2	AC168220,AC165961	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4196	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	65192039	65534719	3,8	AC241617,AC118240	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4220	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	18225663	18492018	14,36	AC133487,AC084822	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4220	16	MAPPED	KB469741.1	NW_004450262.1	ALT_SCAFFOLD	1	267241	14,36	AC133487,AC084822	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4220	16	MAPPED	JH584310.1	NT_187012.1	ALT_SCAFFOLD	9117	261336	14,36	AC133487,AC084822	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4220	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	18225756	18492111	14,36	AC133487,AC084822	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4221	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	98097986	98107768	3,3	AC225639,AC225639	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4221	16	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-88	16	MAPPED	CM001009.2	NC_000082.6	CHROMOSOME	44730154	44928820	4,4	AC122217,AC122217	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-88	16	MAPPED	CM001009.1	NC_000082.5	CHROMOSOME	44730267	44928933	4,4	AC122217,AC122217	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-127	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	52829977	53056570	2,2	AC131674,AC131674	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-127	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	53009696	53195895	2,2	AC131674,AC131674	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-162	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	34773973	34943654	14,14	CT025759,CT025759	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-162	17	MAPPED	JH584266.1	NT_187004.1	ALT_SCAFFOLD	1090447	1263015	14,14	CT025759,CT025759	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-162	17	MAPPED	GL456022.2	NT_039662.3	ALT_SCAFFOLD	1020752	1193362	14,14	CT025759,CT025759	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-162	17	MAPPED	JH584328.1	NT_187027.1	ALT_SCAFFOLD	1090200	1262776	14,14	CT025759,CT025759	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-162	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	34910918	35080599	14,14	CT025759,CT025759	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-176	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	6503739	6825016	2,3	AC167249,AC168090	alignment	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-176	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	6555448	7029365	2,3	AC167249,AC168090	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-181	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	36049950	36254706	6,6	CT030728,CT030728	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-181	17	MAPPED	JH584266.1	NT_187004.1	ALT_SCAFFOLD	1628738	2583894	6,6	CT030728,CT030728	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-181	17	MAPPED	JH590470.1	NT_187009.1	ALT_SCAFFOLD	1	228548	6,6	CT030728,CT030728	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-181	17	MAPPED	JH584328.1	NT_187027.1	ALT_SCAFFOLD	1628502	2560261	6,6	CT030728,CT030728	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-181	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	36186895	36391651	6,6	CT030728,CT030728	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-207	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	20733617	20884608	9,9	AC107868,AC107868	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-207	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	20870581	21021572	9,9	AC107868,AC107868	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-208	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	36474473	36608197	7,7	CR974472,CR974472	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-208	17	MAPPED	JH584266.1	NT_187004.1	ALT_SCAFFOLD	2801168	2982767	7,7	CR974472,CR974472	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-208	17	MAPPED	JH590470.1	NT_187009.1	ALT_SCAFFOLD	389486	576406	7,7	CR974472,CR974472	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-208	17	MAPPED	JH584328.1	NT_187027.1	ALT_SCAFFOLD	2725540	2907138	7,7	CR974472,CR974472	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-208	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	36611418	36745142	7,7	CR974472,CR974472	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-209	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	47292258	47423636	10,10	AC112683,AC112683	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-209	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	47429207	47560585	10,10	AC112683,AC112683	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-22	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	53945609	54138756	9,9	CU041227,CU041227	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-22	17	MAPPED	GL456232.1	NT_166328.1	UNLOC_SCAFFOLD	1	195669	9,9	CU041227,CU041227	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-24	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	7748669	7974573	15,15	CT485609,CT485609	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-24	17	MAPPED	GL456230.1	NT_166326.1	UNLOC_SCAFFOLD	1	219732	15,15	CT485609,CT485609	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3164	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	37253631	37344745	5,5	CT033782,CT033782	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3164	17	MAPPED	JH584266.1	NT_187004.1	ALT_SCAFFOLD	3613964	3707040	5,5	CT033782,CT033782	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3164	17	MAPPED	JH584308.1	NT_187010.1	ALT_SCAFFOLD	28185	149244	5,5	CT033782,CT033782	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3164	17	MAPPED	JH584328.1	NT_187027.1	ALT_SCAFFOLD	3538339	3631428	5,5	CT033782,CT033782	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3164	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	37390576	37481690	5,5	CT033782,CT033782	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3182	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	90644155	91102870	4,4	AC151286,AC167814	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3182	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	91043495	91502210	4,4	AC151286,AC167814	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-32	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	7227084	7391519	4,4	AC117241,AC117241	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-32	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	7431433	7595868	4,4	AC117241,AC117241	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3250	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	14843383	14878351	2,2	AC154411,AC154411	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3250	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	14980390	15098820	2,2	AC154411,AC154411	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3491	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	7280213	7693199	2,13	AC174679,AC119998	alignment	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3491	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	7635525	7886064	2,13	AC174679,AC119998	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3492	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	13516402	13847948	2,2	AC173344,AC174800	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3492	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	13709268	13984955	2,2	AC173344,AC174800	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3493	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	47916958	48427912	3,2	AC164306,AC166164	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3493	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	48053907	48567237	3,2	AC164306,AC166164	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3765	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	5810089	5927988	23,23	CT571241,CT571241	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3765	17	MAPPED	GL456231.1	NT_166327.1	UNLOC_SCAFFOLD	1	113338	23,23	CT571241,CT571241	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3850	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	55677210	55898561	10,10	CT010495,CT010495	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3850	17	MAPPED	KB469742.1	NW_004450263.1	ALT_SCAFFOLD	989781	1059955	10,10	CT010495,CT010495	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3850	17	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3866	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	22583529	22716904	4,4	AC098880,AC098880	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3866	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	22720496	22853871	4,4	AC098880,AC098880	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3867	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	67673489	67854331	2,2	AC154823,AC154823	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3867	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	68022829	68203671	2,2	AC154823,AC154823	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3876	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	33899551	38721865	6,6	CU467497,CU463299	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3876	17	NOT MAPPED	na	na	na	na	na	na,na	na,na	alignment	alignment	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3880	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	7391520	7469634	2,2	AC241886,AC241886	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3880	17	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3894	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	35254047	35462852	14,14	CR974466,CR974466	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3894	17	MAPPED	JH584266.1	NT_187004.1	ALT_SCAFFOLD	1570448	1778498	14,14	CR974466,CR974466	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3894	17	MAPPED	GL456022.2	NT_039662.3	ALT_SCAFFOLD	1501734	1775388	14,14	CR974466,CR974466	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3894	17	MAPPED	JH584328.1	NT_187027.1	ALT_SCAFFOLD	1570212	1778261	14,14	CR974466,CR974466	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3894	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	35388992	35599797	14,14	CR974466,CR974466	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3900	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	47292258	47423636	10,10	AC112683,AC112683	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3900	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	47429207	47560585	10,10	AC112683,AC112683	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3907	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	13232741	13516401	2,3	AC166099,AC166110	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3907	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	13425607	13709267	2,3	AC166099,AC166110	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3908	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	55536113	55696315	3,2	AC125224,AC182748	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3908	17	MAPPED	KB469742.1	NW_004450263.1	ALT_SCAFFOLD	756841	1008886	3,2	AC125224,AC182748	alignment	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3908	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	55675411	55835613	3,2	AC125224,AC182748	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3940	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	21429338	21928619	6,8	CT010433,CT009755	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3940	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	21566302	22065586	6,8	CT010433,CT009755	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3943	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	33908829	36254706	5,6	CR974462,CT030728	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3943	17	MAPPED	JH584266.1	NT_187004.1	ALT_SCAFFOLD	215772	2583894	5,6	CR974462,CT030728	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3943	17	MAPPED	JH584328.1	NT_187027.1	ALT_SCAFFOLD	215660	2560261	5,6	CR974462,CT030728	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3943	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	34045774	36391651	5,6	CR974462,CT030728	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3944	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	36608198	36754455	3,3	AC126245,AC126245	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3944	17	MAPPED	JH584266.1	NT_187004.1	ALT_SCAFFOLD	2647199	3112740	3,3	AC126245,AC126245	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3944	17	MAPPED	JH590470.1	NT_187009.1	ALT_SCAFFOLD	296547	706202	3,3	AC126245,AC126245	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3944	17	MAPPED	JH584328.1	NT_187027.1	ALT_SCAFFOLD	2623566	3037111	3,3	AC126245,AC126245	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3944	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	36745143	36891400	3,3	AC126245,AC126245	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3953	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	74108928	74296115	2,12	AC162923,CT010445	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3953	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	74458268	74695455	2,12	AC162923,CT010445	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3987	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	7748669	7974573	15,15	CT485609,CT485609	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3987	17	MAPPED	GL456230.1	NT_166326.1	UNLOC_SCAFFOLD	1	219732	15,15	CT485609,CT485609	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3988	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	53945609	54138756	9,9	CU041227,CU041227	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3988	17	MAPPED	GL456232.1	NT_166328.1	UNLOC_SCAFFOLD	1	195669	9,9	CU041227,CU041227	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3989	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	3043519	3218118	11,11	AC110534,AC110534	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3989	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	3043519	3218118	11,11	AC110534,AC110534	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3990	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	39914055	40299874	2,2	AC188608,AC154497	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3990	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	40051000	40436823	2,2	AC188608,AC154497	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-3991	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	61849329	62156818	3,3	AC151473,AC154346	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-3991	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	61988752	62506167	3,3	AC151473,AC154346	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4002	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	6503739	6704116	2,2	AC167249,AC167249	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4002	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	6555448	6703264	2,2	AC167249,AC167249	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4011	17	MAPPED	CM001010.2	NC_000083.6	CHROMOSOME	22963702	23188576	2,2	AC151285,AC151285	alignment	alignment	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
MG-4011	17	MAPPED	CM001010.1	NC_000083.5	CHROMOSOME	23172189	23325543	2,2	AC151285,AC151285	component	component	MGSCv37	GCA_000001635.1	GCF_000001635.18	old
MG-4040	17	MAPPED	GL456022.2	NT_039662.3	ALT_SCAFFOLD	1521202	1583991	1,1	AC087217,AC087217	component	component	GRCm38.p4	GCA_000001635.6	GCF_000001635.24	latest
